	QM	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR
19	20	0.9815537190082644	0.9759752066115701	1.000892561983471	1.0192277228099174	0.9911386138842975	0.9915049504132232	0.988613861322314	0.993653465289256	0.9872772277685951	0.9270396039669422	0.8660297029752066	0.9941881188429752	0.9981782178512396	1.0027128712396693	1.0236435642975206	1.0236435642975206	1.0245049504132233
20	21	0.9818264462809918	0.9755867768595041	0.998801652892562	1.006069306942149	0.9869801980165288	0.9869801980165288	0.9832277228099175	0.9896534652892561	0.9880297029752068	0.9310396039669423	0.8837920791735536	0.9860099009917356	0.9901584158677684	0.9861584158677685	0.9966732672727274	0.9966732672727274	0.9961386138842976
21	22	0.9907438016528926	0.9836694214876032	0.9978429752066115	1.0292871287603307	1.0046237623140495	1.0046435642975207	0.9951287128925619	1.0040495049586775	0.9901683168595041	0.9358811880991734	0.8792970297520661	0.9837524752066116	0.9910198019834711	0.987	0.9865445543801653	0.9865445543801653	0.9901980198347105
22	23	1.0033388429752064	0.9949256198347108	1.0004710743801652	1.030762376198347	1.0128613861157025	1.0105742573553718	1.0050297029752067	1.0139405940495867	0.9927623761983472	0.9448415841322316	0.9014950495867768	0.9904752476033056	0.9969108910743804	0.9912475247933885	0.9924950495867769	0.9924950495867769	1.0054851485950413
23	24	1.0174710743801652	1.010206611570248	1.0014710743801651	1.040128712892562	1.0234653466115702	1.022574257355372	1.015039603966942	1.0229603960330578	0.9983069307438017	0.9711881188429754	0.9623465347107437	0.9984158416528924	1.0081584158677688	1.0018415841322312	1.0034356436363636	1.0034356436363636	1.0144851485950415
24	25	1.0205206611570248	1.013413223140496	1.0015289256198348	1.0322277228099175	1.0235544553719007	1.0205247523966943	1.014495049586777	1.0235841583471075	0.9987524752066116	0.978504950413223	0.9703267327272728	0.9984554456198347	1.0043465347107436	0.9985544553719009	1.0022079208264463	1.0022079208264463	1.0020396039669421
25	26	1.0324297520661156	1.0265289256198344	1.0029338842975206	1.0423663366942149	1.0321881188429753	1.0293069307438016	1.021554455371901	1.0303267327272727	1.001673267272727	0.9965742573553721	1.0095247523966944	0.9980792079338842	1.0026435642975207	0.9971188119008264	0.9835049504132232	0.9835049504132232	1.0016930692561985
26	27	1.0362561983471075	1.029520661157025	1.0063388429752065	1.0424356436363635	1.0333366337190082	1.0314752476033058	1.016059405950413	1.0330297029752067	1.004554455371901	1.0248217821487602	1.0704752476033057	1.0074950495867767	1.0117524752066114	1.0106732672727272	1.0003465347107439	1.0003465347107439	1.0162277228099172
27	28	1.0462727272727272	1.0398347107438015	1.0088016528925619	1.0411980198347106	1.0403267327272727	1.0354455446280992	1.0207425742148761	1.0365148514049587	1.0056732672727273	1.0370693069421486	1.105960396033058	1.0137821781818181	1.0160990099173552	1.018782178181818	1.0108712871074381	1.0108712871074381	1.0098415841322315
28	29	1.0464628099173554	1.0414214876033059	1.0110000000000001	1.0510792079338844	1.0447128712396694	1.04008910892562	1.025940594049587	1.0402277228099173	1.0080297029752066	1.0619405940495867	1.1585841583471075	1.018188118842975	1.0203960396694214	1.0200396039669422	1.0055049504132232	1.0055049504132232	1.0002277228099172
29	30	1.04199173553719	1.0366363636363636	1.0111322314049587	1.0390693069421488	1.0417524752066116	1.0366237623140495	1.024019801983471	1.038148514876033	1.008128712892562	1.0642673267768594	1.1789405940495867	1.0207524752066115	1.0246930692561982	1.0275148514049588	1.0154653466115702	1.0154653466115702	1.009148514876033
30	31	1.0459421487603306	1.0415867768595042	1.0104380165289255	1.0472079208264462	1.0472277228099176	1.040128712892562	1.027019801983471	1.0391782178512396	1.0085643563636364	1.061019801983471	1.1716633662809919	1.0251188119008265	1.0249900990082645	1.0317722771900826	1.0215346533884297	1.0215346533884297	1.0246732672727275
31	32	1.0389173553719009	1.0354380165289256	1.0087768595041322	1.034683168264463	1.0393069307438016	1.0349405940495866	1.0212376238016527	1.033504950413223	1.0101881188429753	1.0670198019834711	1.1777524752066115	1.0181188119008264	1.0155841583471072	1.0175346533884297	1.0015049504132232	1.0015049504132232	0.9846930692561984
32	33	1.037909090909091	1.0340165289256198	1.007677685950413	1.038891089090909	1.0410297029752065	1.0355544553719007	1.0214356436363634	1.0335049504132228	1.009811881157025	1.0651386138842975	1.1766732672727274	1.020277227768595	1.017980198016529	1.019405940661157	1.0077623761983472	1.0077623761983472	1.0075445543801655
