Year,Day           Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1903, 19        74.231   74.326   74.554   74.801   74.774   74.743   74.713   74.698   74.621   74.554   74.442   74.271
1903, 20        74.237   74.323   74.539   74.786   74.801   74.710   74.707   74.688   74.609   74.624   74.387   74.323
1903, 21        74.210   74.292   74.585   74.783   74.771   74.719   74.737   74.704   74.615   74.509   74.399   74.359
1903, 22        74.219   74.301   74.560   74.771   74.719   74.704   74.707   74.768   74.621   74.594   74.408   74.405
1903, 23          -      74.295   74.509   74.789   74.704   74.716   74.734   74.673   74.649   74.521   74.442   74.435
1903, 24          -      74.268   74.612   74.801   74.676   74.737   74.719   74.631   74.585   74.502   74.454   74.371
1903, 25          -      74.274   74.762   74.759   74.695   74.777   74.774   74.603   74.579   74.551   74.393   74.323
1903, 26          -      74.280   74.719   74.780   74.737   74.780   74.719   74.640   74.606   74.487   74.347   74.234
1903, 27        74.207   74.234   74.652   74.804   74.774   74.743   74.691   74.640   74.643   74.493   74.378   74.323
1903, 28          -      74.280   74.600   74.819   74.847   74.746   74.704   74.554   74.570   74.478   74.341   74.246
1903, 29          -               74.603   74.801   74.740   74.743   74.762   74.554   74.570   74.542   74.310   74.216
1903, 30          -               74.618   74.816   74.707   74.789   74.819   74.582   74.557   74.521   74.341     -
1903, 31        74.274            74.655            74.670            74.780   74.624            74.502              -
1904,  1          -      74.265   74.265   74.661   74.963   74.993   75.161   75.136   74.996   74.987   74.768   74.676
1904,  2          -        -      74.274   74.746   74.957   75.057   75.140   75.100   74.951   74.957   74.759   74.554
1904,  3          -      74.283   74.353   74.688   74.969   75.088   75.143   75.112   75.036   74.917   74.816   74.536
1904,  4        74.250   74.317   74.381   74.783   74.984   75.063   75.167   75.103   75.048   74.887   74.704   74.591
1904,  5        74.253   74.250   74.320   74.765   74.981   75.109   75.191   75.136   74.996   74.914   74.640   74.640
1904,  6        74.298   74.219   74.295     -      74.951   75.130   75.130   75.176   74.981   74.856   74.734   74.570
1904,  7        74.283   74.265   74.301   74.698   74.990   75.121   75.112   75.133   74.993   74.841   74.752   74.655
1904,  8        74.243   74.335   74.384   74.701   74.981   75.091   75.109   75.100   74.941   74.887   74.731   74.533
1904,  9        74.231   74.317   74.423   74.755   75.012   75.094   75.127   75.012   74.926   74.792   74.643   74.554
1904, 10          -      74.298   74.384   74.856   74.893   75.109   75.161   75.048   74.984   74.941   74.673   74.499
1904, 11          -      74.298   74.347   74.850   75.054   75.109   75.167   75.094   75.005   74.777   74.722   74.515
1904, 12          -      74.286   74.429   74.896   74.987   75.100   75.173   75.051   74.978   74.643   74.914   74.499
1904, 13          -      74.277     -      74.859   74.972   75.100   75.161   75.088   74.899   74.810   74.673   74.445
1904, 14          -      74.265     -      74.896   75.021   75.127   75.161   75.109   74.987   74.826   74.670   74.512
1904, 15          -      74.332     -      74.832   75.018   75.161   75.170   75.051   74.993   74.810   74.759   74.481
1904, 16          -      74.353     -      74.847   75.085   75.130   75.170   75.042   75.008   74.826   74.661   74.487
1904, 17          -      74.335     -      75.018     -      75.146   75.143   75.088   74.972   74.829     -      74.457
1904, 18          -      74.301     -      74.908   74.969   75.149   75.173   75.054   74.999   74.844     -      74.469
1904, 19          -      74.283   74.332   74.951   74.999   75.103   75.179   75.027   74.883   74.810   74.649   74.560
1904, 20        74.140   74.292   74.399   74.865   75.072   75.115   75.176   75.103   74.920   74.835   74.682   74.460
1904, 21        74.091   74.265   74.323   74.896   75.079   75.118   75.127   75.079   74.883   74.877   74.664   74.466
1904, 22          -      74.320   74.381   74.890   75.079   75.118   75.091   75.109   74.905   74.954   74.688   74.515
1904, 23        74.192   74.314   74.451   74.890   75.079   75.143   75.042   75.051   74.914   74.853   74.627   74.509
1904, 24        74.301   74.298   74.420   74.923   75.082   75.143   75.085   75.088   74.993   74.810   74.576   74.393
1904, 25        74.487   74.338   74.457   74.966   75.060   75.173   75.118   75.112   74.893   74.935   74.643   74.390
1904, 26        74.429   74.304   74.573   74.905   75.079   75.204   75.106   75.097   74.917   74.835   74.637   74.457
1904, 27        74.496   74.237   74.551   74.844   75.158   75.149   75.115   75.097   74.850   74.804   74.624   74.487
1904, 28        74.457   74.213   74.579   74.826   75.121   75.140   75.130   75.118   74.871   74.823   74.609   74.652
1904, 29        74.417   74.149   74.582   74.914   75.088   75.136   75.136   75.048   74.932   74.853   74.664   74.609
1904, 30        74.329            74.585   74.978   75.085   75.133   75.118   75.033   75.005   74.746   74.719   74.600
1904, 31        74.250            74.566            75.012            75.158   75.002            74.780            74.576
1905,  1        74.530   74.478   74.356   74.515   74.640   74.713   74.844   74.853   74.853   74.731   74.838   74.545
1905,  2        74.487   74.487   74.359   74.524   74.624   74.713   74.841   74.871   74.798   74.746   74.685   74.682
1905,  3        74.478   74.502   74.356   74.512   74.573   74.725   74.856   74.874   74.832   74.795   74.728   74.557
1905,  4        74.548   74.502   74.314   74.545   74.557   74.728   74.853   74.862   74.859   74.835   74.691   74.597
1905,  5        74.502   74.484   74.326   74.576   74.661   74.673   74.890   74.862   74.880   74.789   74.631   74.627
1905,  6        74.469   74.448   74.329   74.606   74.640   74.652   74.874   74.871   74.862   74.731   74.612   74.655
1905,  7        74.585   74.463   74.295   74.615   74.740   74.640   74.877   74.893   74.838   74.759   74.658   74.634
1905,  8        74.627   74.457   74.323   74.637   74.661   74.734   74.893   74.890   74.853   74.786   74.719   74.597
1905,  9        74.609   74.438   74.307   74.597   74.722   74.765   74.911   74.862   74.868   74.704   74.734   74.472
1905, 10        74.649   74.457   74.335   74.588   74.652   74.737   74.880   74.887   74.847   74.691     -        -
1905, 11        74.536   74.469   74.329   74.582   74.646   74.752   74.862   74.887   74.819   74.759   74.795   74.554
1905, 12        74.585   74.442   74.317   74.600   74.631   74.759   74.890   74.877   74.823   74.746   74.743   74.493
1905, 13        74.600   74.448     -      74.615   74.682   74.804   74.914   74.801   74.780   74.755   74.667   74.588
1905, 14        74.585   74.481     -      74.594   74.627   74.798   74.929   74.762   74.786   74.710     -      74.533
1905, 15        74.627   74.478     -      74.627   74.670   74.768   74.908   74.685   74.807   74.725   74.789   74.475
1905, 16        74.643   74.469     -      74.661   74.649   74.771   74.914   74.771   74.819   74.737   74.679   74.533
1905, 17        74.634   74.466     -      74.679   74.673   74.792   74.926   74.832   74.801   74.646   74.634   74.557
1905, 18        74.603   74.457     -      74.673   74.707   74.813   74.926   74.844   74.813   74.752   74.624   74.594
1905, 19        74.588   74.393     -      74.728   74.682   74.826   74.920   74.859   74.786   74.679   74.563   74.521
1905, 20        74.573   74.393   74.274   74.634   74.698   74.847   74.887   74.890   74.862   74.887   74.536   74.512
1905, 21        74.533   74.350   74.268   74.765   74.701   74.829   74.880   74.883   74.850   74.798   74.594   74.533
1905, 22        74.521     -      74.295   74.643   74.698   74.844   74.847   74.890   74.874   74.734   74.655   74.823
1905, 23        74.521     -      74.286   74.631   74.658   74.795   74.859   74.874   74.823   74.716     -      74.634
1905, 24        74.499   74.362   74.317   74.676   74.704   74.832   74.926   74.859   74.871   74.743     -      74.615
1905, 25        74.472   74.347   74.362   74.646   74.695   74.862   74.896   74.835   74.771   74.667   74.624     -
1905, 26          -      74.387   74.362   74.649   74.710   74.792   74.893   74.832   74.771   74.634   74.615     -
1905, 27          -      74.371   74.429   74.585   74.716   74.850   74.880   74.804   74.789   74.731   74.603     -
1905, 28        74.548   74.362   74.420   74.600   74.728   74.868   74.862   74.835   74.777     -      74.521   74.554
1905, 29        74.539            74.432   74.658   74.710   74.890   74.792   74.850   74.752     -      74.701   74.637
1905, 30        74.518            74.478   74.646   74.691   74.871   74.783   74.865   74.749   74.640   74.560   74.582
1905, 31        74.496            74.499            74.679            74.765   74.826            74.649            74.707
1906,  1        74.725   74.816   74.603   74.588   74.688   74.725   74.759   74.716   74.637   74.509   74.484   74.563
1906,  2        74.624   74.676   74.521   74.582   74.640   74.710   74.755   74.701   74.688   74.499   74.496   74.469
1906,  3        74.496   74.649   74.499   74.600   74.707   74.713   74.749   74.704   74.661   74.481   74.478   74.438
1906,  4        74.762   74.752   74.621   74.634   74.713   74.695   74.749   74.734   74.597   74.481   74.426   74.496
1906,  5        74.792   74.609   74.566   74.603   74.728   74.679   74.725   74.728   74.627   74.521   74.408   74.451
1906,  6        74.826   74.591   74.585   74.606   74.731   74.688   74.743   74.762   74.655   74.499   74.469   74.438
1906,  7        74.737   74.621   74.612   74.591   74.719   74.667   74.765   74.704   74.637   74.512   74.466   74.487
1906,  8        74.643   74.618   74.606   74.579   74.695   74.731   74.774   74.679   74.612   74.530   74.454   74.457
1906,  9        74.661   74.627   74.603   74.506   74.728   74.752   74.792   74.685   74.631   74.664   74.442   74.405
1906, 10        74.649   74.652   74.646   74.597   74.731   74.737   74.765   74.722   74.554   74.475   74.521   74.384
1906, 11        74.667   74.597   74.603   74.624   74.728   74.676   74.755   74.752   74.576   74.469   74.387   74.478
1906, 12        74.762   74.624   74.603   74.637   74.759   74.734   74.746   74.664   74.579   74.530   74.350   74.502
1906, 13        74.487   74.600   74.570   74.618   74.719   74.722   74.746   74.707   74.621   74.518   74.466   74.448
1906, 14        74.566   74.533   74.502   74.658   74.646   74.716   74.755   74.682   74.530   74.496   74.463   74.320
1906, 15        74.640   74.597   74.506   74.698   74.691   74.716   74.755   74.670   74.469   74.487   74.393   74.582
1906, 16        74.865   74.609   74.582   74.679   74.722   74.698   74.765   74.673   74.527   74.448   74.454   74.566
1906, 17        74.722   74.591   74.615   74.698   74.762   74.676   74.792   74.646     -      74.438   74.426   74.502
1906, 18        74.707   74.600   74.579   74.698   74.749   74.673   74.777   74.655     -      74.448   74.490   74.484
1906, 19        74.621   74.591   74.502   74.701   74.743   74.698   74.768   74.658   74.499   74.451   74.515   74.506
1906, 20        74.649   74.588   74.548     -      74.685     -      74.762   74.673   74.509   74.390     -      74.472
1906, 21        74.679   74.606   74.643   74.716   74.707     -      74.768   74.676   74.512   74.378     -      74.506
1906, 22        74.661   74.588   74.652   74.679   74.688   74.737   74.789   74.661   74.502   74.420     -      74.496
1906, 23        74.762   74.573   74.557   74.627   74.701   74.746   74.810   74.615   74.542   74.457   74.536   74.487
1906, 24        74.661   74.591   74.493   74.713   74.698   74.752   74.752   74.640   74.542   74.429   74.533   74.451
1906, 25        74.624     -      74.518   74.691   74.688   74.728   74.752   74.649   74.530     -      74.563   74.506
1906, 26        74.667   74.615   74.524   74.710   74.704   74.749   74.755   74.664   74.566   74.496   74.454   74.509
1906, 27        74.691   74.597   74.579   74.698   74.591   74.759   74.743   74.658   74.530   74.524   74.457   74.527
1906, 28        74.673   74.609   74.579   74.691   74.615   74.740   74.737   74.627   74.490   74.734   74.481   74.466
1906, 29        74.618            74.591   74.670   74.682   74.762   74.737   74.643   74.536   74.551   74.469   74.469
1906, 30        74.755            74.566   74.762   74.716   74.685   74.752   74.679   74.542   74.432   74.563   74.414
1906, 31        74.713            74.521            74.701            74.722   74.631            74.390            74.487
1907,  1        74.566   74.701   74.631   74.774   74.832   74.877   74.954   74.917   74.801   74.710   74.640   74.631
1907,  2        74.515   74.731   74.707   74.807   74.832   74.890   74.914   74.981   74.786   74.704   74.655   74.634
1907,  3        74.487   74.807   74.695   74.804   74.850   74.877   74.917   74.954   74.746   74.704   74.807   74.600
1907,  4        74.618   74.728   74.673   74.737   74.813   74.874   74.926   74.914   74.734   74.762   74.679   74.591
1907,  5        74.594   74.676   74.640   74.752     -      74.917   74.917   74.893   74.740   74.719   74.704   74.688
1907,  6        74.563   74.731   74.646   74.698   74.887   74.954   74.883   74.908   74.786   74.743   74.566   74.664
1907,  7        74.566   74.722   74.627   74.722   74.887   74.929   74.911   74.914   74.762   74.774   74.746   74.667
