Sim	QM	forNTS	indicator	confidence
405	21	7569.595343524816	1	3
406	22	7568.277877350223	1	3
407	23	7564.280067313672	1	3
408	24	7555.83279061227	1	3
409	25	7541.251860698612	1	3
410	26	7541.671595460969	1	3
411	27	7531.190736763522	1	3
412	28	7538.6433232076415	1	3
413	29	7538.1485644693175	1	3
414	30	7535.479667190577	1	3
415	31	7543.470364902675	1	3
416	32	7548.371239840275	1	3
417	33	7547.9216653101	1	3
418	34	7544.804353996479	1	3
419	35	7537.788732698797	1	3
420	36	7524.425662715295	1	3
421	37	7524.455667804418	1	3
422	38	7562.258417457668	1	3
423	39	7576.091658189011	1	3
424	40	7584.126991657399	1	3
425	41	7604.149820060083	1	3
426	42	7637.410086883292	1	3
427	43	7666.923418905309	1	3
428	44	7689.326031441862	1	3
429	45	7716.255973326765	1	3
430	46	7759.616033173301	1	3
431	47	7814.60228110277	1	3
432	48	7846.3753153939515	1	3
433	1	7891.530461346314	1	3
434	2	7922.059341755023	1	3
435	3	7954.811934470402	1	3
436	4	7964.326969543958	1	3
437	5	7977.982161804788	1	3
438	6	8006.353758300646	1	3
439	7	8027.66772235775	1	3
440	8	8057.6463913979915	1	3
441	9	8083.914785113832	1	3
442	10	8063.004971854965	1	3
443	11	8034.865632858974	1	3
444	12	8034.0594633666005	1	3
445	13	8044.229755260608	1	3
446	14	8036.800322615442	1	3
447	15	8054.57122540513	1	3
448	16	8088.565303854956	1	3
449	17	8093.024816316415	1	3
450	18	8108.750437874835	1	3
451	19	8132.012122218054	1	3
452	20	8139.045846619738	1	3
453	21	8145.318927026726	1	3
454	22	8151.196561354908	1	3
455	23	8162.75784298943	1	3
456	24	8193.928338980872	1	3
457	25	8219.387005155188	1	3
458	26	8223.937520157753	1	3
459	27	8236.828221905844	1	3
460	28	8246.88003745171	1	3
461	29	8262.47208965942	1	3
462	30	8277.473579208792	1	3
463	31	8287.46438473059	1	3
464	32	8293.306083854903	1	3
465	33	8287.768826947959	1	3
466	34	8285.37667409309	1	3
467	35	8289.92880307961	1	3
468	36	8293.248108901047	1	3
469	37	8285.043203032468	1	3
470	38	8252.470568338169	1	3
471	39	8239.065562824566	1	3
472	40	8228.966763002487	1	3
473	41	8214.850139178212	1	3
474	42	8192.705617833957	1	3
475	43	8171.078953717801	1	3
476	44	8152.7422899351395	1	3
477	45	8127.428825636054	1	3
478	46	8083.344373164374	1	3
479	47	8032.007266096238	1	3
480	48	8005.3264249589365	1	3
481	1	7964.826875323511	1	3
482	2	7934.724454261076	1	3
483	3	7889.4504401453905	1	3
484	4	7831.293262137544	1	3
485	5	7774.272736084482	1	3
486	6	7713.980865804782	1	3
487	7	7647.794316160171	1	3
488	8	7600.054065199566	1	3
489	9	7597.796581039472	1	3
490	10	7617.896271231154	1	3
491	11	7659.336426172759	1	3
492	12	7658.039365055486	1	3
493	13	7638.499472330089	1	3
494	14	7613.862899316632	1	3
495	15	7606.944648870381	1	3
496	16	7595.135135245185	1	3
497	17	7598.170353125358	1	3
498	18	7607.004427326427	1	3
499	19	7594.417385377831	1	3
500	20	7595.12018236831	1	3
501	21	7599.874671183947	1	3
502	22	7606.0180614962665	1	3
503	23	7602.685004928447	1	3
504	24	7604.403910458598	1	3
505	25	7591.845250764949	1	3
506	26	7597.841434034081	1	3
507	27	7605.614535127038	1	3
508	28	7599.007578936348	1	3
509	29	7595.703336830671	1	3
510	30	7596.4958033427665	1	3
511	31	7590.918010182597	1	3
512	32	7586.700054083926	1	3
513	33	7597.497558675489	1	3
514	34	7603.38753079725	1	3
515	35	7616.193384378737	1	3
516	36	7613.354939509485	1	3
517	37	7618.732727608305	1	3
518	38	7622.257436015532	1	3
519	39	7623.7507821704785	1	3
520	40	7617.283845015197	1	3
521	41	7615.894618377007	1	3
522	42	7608.36434219833	1	3
523	43	7594.716450746066	1	3
524	44	7599.814872845017	1	3
525	45	7603.53700141628	1	3
526	46	7617.298782447748	1	3
527	47	7626.9760558903445	1	3
528	48	7637.738400627196	1	3
529	1	7641.976183393725	1	3
530	2	7653.968770767726	1	3
531	3	7672.258058809997	1	3
532	4	7696.991818344982	1	3
533	5	7731.669882712231	1	3
534	6	7756.751786243996	1	3
535	7	7769.333870155327	1	3
536	8	7781.271265010618	1	3
537	9	7772.7897100950795	1	3
538	10	7743.004115240577	1	3
539	11	7733.452852202331	1	3
540	12	7734.715700723912	1	3
541	13	7745.974107120958	1	3
