Sim	QM	forNTS	indicator	confidence
121	25	6309.7116938121735	-1	3
122	26	6300.670835050103	-1	3
123	27	6281.167802720975	-1	3
124	28	6269.4876815538655	-1	3
125	29	6261.7873827922285	-1	3
126	30	6261.226938948466	-1	3
127	31	6255.877808025084	-1	3
128	32	6240.574176756172	-1	3
129	33	6239.211428685725	-1	3
130	34	6247.979268776914	-1	3
131	35	6233.085774670546	-1	3
132	36	6229.508816793846	-1	3
133	37	6224.64747771968	-1	3
134	38	6211.452502344426	-1	3
135	39	6205.654486988642	-1	3
136	40	6207.758697939103	-1	3
137	41	6203.726743424902	-1	3
138	42	6204.738835280566	-1	3
139	43	6203.710678002706	-1	3
140	44	6200.384817874146	-1	3
141	45	6203.63035067042	-1	3
142	46	6201.493508199638	-1	3
143	47	6187.075043531807	-1	3
144	48	6180.496782113985	-1	3
145	1	6178.775409106197	-1	3
146	2	6180.400261024913	-1	3
147	3	6168.02504467832	-1	3
148	4	6159.329771176825	-1	3
149	5	6158.91100003896	-1	3
150	6	6168.572379349664	-1	3
151	7	6167.509890428863	-1	3
152	8	6221.871257776656	-1	3
153	9	6254.324013971087	-1	3
154	10	6274.496677765906	-1	3
155	11	6272.240404587446	-1	3
156	12	6266.71852186732	-1	3
157	13	6264.205093769988	-1	3
158	14	6283.310988046167	-1	3
159	15	6306.533541308422	-1	3
160	16	6336.679204017646	-1	3
161	17	6351.533822208106	-1	3
162	18	6364.847875664677	-1	3
163	19	6356.487932618569	-1	3
164	20	6324.110078975598	-1	3
165	21	6305.143919303817	-1	3
166	22	6312.729614600739	-1	3
167	23	6322.067557463682	-1	3
168	24	6333.69723013803	-1	3
169	25	6335.706529273225	-1	3
170	26	6330.347895769011	-1	3
171	27	6336.232736939282	-1	3
172	28	6331.432510925578	-1	3
173	29	6339.1824020991435	-1	3
174	30	6335.451392704384	-1	3
175	31	6333.346376949683	-1	3
176	32	6338.576564659698	-1	3
177	33	6352.7605302087695	-1	3
178	34	6345.8452594692235	-1	3
179	35	6355.771184675288	-1	3
180	36	6358.016899112559	-1	3
181	37	6365.4687445848795	-1	3
182	38	6381.126647989635	-1	3
183	39	6408.908167332099	-1	3
184	40	6414.783215684683	-1	3
185	41	6427.320856820048	-1	3
186	42	6435.1088693974225	-1	3
187	43	6439.501039330273	-1	3
188	44	6450.785789234487	-1	3
189	45	6465.8001336681755	-1	3
190	46	6477.669814811056	-1	3
191	47	6492.962417065326	-1	3
192	48	6510.8324043082175	-1	3
193	1	6547.765474547348	-1	3
194	2	6578.6938504293175	-1	3
195	3	6600.127605493873	-1	3
196	4	6611.581311392224	-1	3
197	5	6602.484910767443	-1	3
198	6	6592.267763468631	-1	3
199	7	6593.588449111703	-1	3
200	8	6546.7409926798055	-1	3
201	9	6535.231364539159	-1	3
202	10	6535.089420169611	-1	3
203	11	6558.400967313365	-1	3
204	12	6584.561892556959	-1	3
205	13	6576.286315033482	-1	3
206	14	6568.510830262087	-1	3
207	15	6558.400967313365	-1	3
208	16	6536.38265069492	-1	3
209	17	6517.132519545418	-1	3
210	18	6492.788529648014	-1	3
211	19	6476.514838202943	-1	3
212	20	6468.981965699745	-1	3
213	21	6475.1540871039315	-1	3
214	22	6455.982026576119	-1	3
215	23	6443.41662710096	-1	3
216	24	6437.915540993187	-1	3
217	25	6434.617260772168	-1	3
218	26	6438.359494484901	-1	3
219	27	6437.947252316951	-1	3
220	28	6445.1125914263375	-1	3
221	29	6439.326641290497	-1	3
222	30	6439.310786840186	-1	3
223	31	6449.613262179429	-1	3
224	32	6449.296349998573	-1	3
225	33	6436.076189417433	-1	3
226	34	6424.0999877778795	-1	3
227	35	6422.052931009386	-1	3
228	36	6413.7988812507965	-1	3
229	37	6409.861007591165	-1	3
230	38	6414.116414340889	-1	3
231	39	6412.878003759667	-1	3
232	40	6417.30731242774	-1	3
233	41	6417.815264177923	-1	3
234	42	6408.352320646016	-1	3
235	43	6408.574661372189	-1	3
236	44	6391.653061301067	-1	3
237	45	6377.913434681729	-1	3
238	46	6375.304264922828	-1	3
