Sim	QM	forNTS	indicator	confidence
129	33	6634.21664501799	-1	3
130	34	6645.304547152656	-1	3
131	35	6636.867674449006	-1	3
132	36	6635.691228456361	-1	3
133	37	6634.342146005855	-1	3
134	38	6624.785973774741	-1	3
135	39	6621.269830100915	-1	3
136	40	6626.73212586843	-1	3
137	41	6626.40254985297	-1	3
138	42	6633.102786851501	-1	3
139	43	6635.910837323119	-1	3
140	44	6631.926104062221	-1	3
141	45	6636.350047324445	-1	3
142	46	6636.428476597019	-1	3
143	47	6621.897761458417	-1	3
144	48	6619.260307813812	-1	3
145	1	6621.002952878785	-1	3
146	2	6623.655856930346	-1	3
147	3	6612.335217869134	-1	3
148	4	6610.795959724364	-1	3
149	5	6620.594780336136	-1	3
150	6	6631.43972021589	-1	3
151	7	6630.32569663532	-1	3
152	8	6682.5194856598655	-1	2
153	9	6719.895316143752	-1	2
154	10	6746.64304281581	-1	2
155	11	6758.615822851126	-1	2
156	12	6777.308251120319	-1	2
157	13	6798.346508107037	-1	2
158	14	6846.1569439332025	-1	1
159	15	6899.790959874034	0	1
160	16	6962.208594534145	0	2
161	17	6996.337545334078	0	2
162	18	7027.886999123485	0	2
163	19	7041.454258277927	0	2
164	20	7031.2220555947115	0	2
165	21	7031.575507958204	0	2
166	22	7051.880762955972	0	2
167	23	7070.984395423902	0	2
168	24	7085.840346354502	0	2
169	25	7093.195240836017	0	2
170	26	7092.444552682148	0	2
171	27	7098.816846492905	0	2
172	28	7095.110134036048	0	2
173	29	7101.144678582623	0	2
174	30	7097.331180556944	0	2
175	31	7094.344198752793	0	2
176	32	7098.357373961857	0	2
177	33	7108.815420672652	0	2
178	34	7104.605297124599	0	2
179	35	7111.188009757903	0	2
180	36	7116.20778910274	0	2
181	37	7124.2551806964875	0	2
182	38	7141.486564658063	0	2
183	39	7175.600052851674	0	2
184	40	7189.69284767782	0	1
185	41	7208.63557499425	0	1
186	42	7224.075385564081	0	1
187	43	7233.434067820225	0	1
188	44	7251.180945904352	1	1
189	45	7272.739326442619	1	1
190	46	7289.830142436557	1	2
191	47	7312.378593712331	1	2
192	48	7347.297460687878	1	2
193	1	7402.493353643021	1	2
194	2	7452.606646451054	1	3
195	3	7491.800002074015	1	3
196	4	7516.247693680218	1	3
197	5	7516.84801886454	1	3
198	6	7519.339186709284	1	3
199	7	7537.7437532991535	1	3
200	8	7514.266499907906	1	3
201	9	7519.354192857497	1	3
202	10	7534.160088518422	1	3
203	11	7566.750712502564	1	3
204	12	7598.005894210952	1	3
205	13	7595.209899472973	1	3
206	14	7585.069486495394	1	3
207	15	7570.61332987294	1	3
208	16	7547.487067570304	1	3
209	17	7530.84578515001	1	3
210	18	7511.129230833699	1	3
211	19	7494.50445373163	1	3
212	20	7487.111465452251	1	3
213	21	7489.696300283294	1	3
214	22	7473.46069168606	1	3
215	23	7462.675140309418	1	3
216	24	7457.197514385277	1	3
217	25	7452.245355265992	1	3
218	26	7454.939835778643	1	3
219	27	7454.413009214471	1	3
220	28	7461.230630190373	1	3
221	29	7458.973384548691	1	3
222	30	7461.892709638609	1	3
223	31	7473.520846637275	1	3
224	32	7478.377792378142	1	3
225	33	7471.595803014158	1	3
226	34	7462.103366912151	1	3
227	35	7464.631089719452	1	3
228	36	7458.7325973824445	1	3
229	37	7456.038602984453	1	3
230	38	7462.720279652762	1	3
231	39	7460.58357787108	1	3
232	40	7463.156621646473	1	3
233	41	7463.713320710239	1	3
234	42	7452.004491024889	1	3
235	43	7450.754963459342	1	3
236	44	7432.033256368172	1	3
237	45	7413.4456275824505	1	2
238	46	7412.465286065406	1	2
239	47	7390.085903808	1	2
240	48	7360.0026311714655	1	2
241	1	7311.696588405954	1	2
242	2	7268.54793015445	1	1
243	3	7244.7956708003685	1	1
244	4	7219.919665651988	0	1
245	5	7203.608255237241	0	1
246	6	7195.119924851491	0	1
247	7	7190.378934822392	0	1
248	8	7170.335615975992	0	2
249	9	7145.276406720627	0	2
250	10	7148.805820071551	0	2
251	11	7131.901804878726	0	2
252	12	7096.228346893359	0	2
253	13	7065.354948060105	0	2
254	14	7058.695727840602	0	2
255	15	7049.209396439375	0	2
256	16	7041.13170179779	0	2
257	17	7058.005128232547	0	2
258	18	7073.53016292485	0	2
259	19	7117.569646763856	0	2
260	20	7154.304972944857	0	2
261	21	7188.366346687268	0	1
262	22	7212.412863738221	0	1
263	23	7229.599810289171	0	1
264	24	7236.887325673688	0	1
265	25	7251.104942455153	1	1
266	26	7263.049219270959	1	1
267	27	7279.586468069819	1	1
268	28	7286.962428461799	1	1
269	29	7291.817582462268	1	2
270	30	7294.472259907317	1	2
271	31	7291.620364176318	1	2
272	32	7301.615433395814	1	2
273	33	7316.6216755701025	1	2
274	34	7337.763467680427	1	2
275	35	7335.795589060623	1	2
276	36	7343.272532457562	1	2
277	37	7344.589042433129	1	2
278	38	7338.611111561862	1	2
279	39	7315.9852689335585	1	2
280	40	7305.784930290651	1	2
281	41	7295.291348343076	1	2
282	42	7295.367188215114	1	2
283	43	7290.345985028326	1	2
284	44	7291.286605844221	1	2
285	45	7295.791886331644	1	2
286	46	7295.336852299845	1	2
287	47	7297.369259725456	1	2
288	48	7310.453765164863	1	2
289	1	7325.150660879306	1	2
290	2	7330.0725395103545	1	2
291	3	7329.345689680898	1	2
292	4	7363.812665453133	1	2
293	5	7381.961211746612	1	2
294	6	7387.9870769481995	1	2
295	7	7400.3655927803375	1	2
296	8	7413.6416903686895	1	2
297	9	7435.709632184798	1	3
298	10	7412.555781054803	1	2
299	11	7404.470015124849	1	2
300	12	7404.062626925231	1	2
301	13	7398.418727879397	1	2
302	14	7406.582270932065	1	2
303	15	7405.450731893042	1	2
304	16	7398.222522114678	1	2
305	17	7380.193897963319	1	2
306	18	7351.775409184062	1	2
307	19	7319.803414347112	1	2
308	20	7305.845571290675	1	2
309	21	7276.8084133568445	1	1
310	22	7259.934653589061	1	1
311	23	7251.120143167597	1	1
312	24	7247.18278094897	1	1
313	25	7264.629110519609	1	1
314	26	7263.991092185098	1	1
315	27	7251.849764075562	1	1
316	28	7243.016560175434	1	1
317	29	7244.369914840836	1	1
318	30	7240.081449200026	1	1
319	31	7230.467145927954	0	1
320	32	7212.412863738221	0	1
321	33	7193.001098431368	0	1
322	34	7184.355821412262	0	2
323	35	7190.897296378789	0	1
324	36	7195.119924851491	0	1
325	37	7189.92154597247	0	1
326	38	7175.905195587973	0	2
327	39	7171.342831646663	0	2
328	40	7175.203360414401	0	2
329	41	7171.541216697865	0	2
330	42	7169.282564122421	0	2
331	43	7180.069933972499	0	2
332	44	7179.978410469631	0	2
333	45	7178.956369912522	0	2
334	46	7174.409952204589	0	2
335	47	7166.413100963036	0	2
336	48	7177.446096116431	0	2
