Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
1028	2043	5	20	1158.8949207696	1141.2770070068523	1119.3228738059533	1121.604569110428	5708.0	5848.3949522904	5800.4759913904	5742.46420536318	1455.453246496	1342.3563991038272	1193.0911046504166	1076.6437448299534	6866.8949207696005	6989.671959297253	6919.798865196353	6864.068774473608
1029	2043	6	21	1110.9524776096	1095.3913404831162	1104.4905118300003	915.56658488268	5724.0	5800.4759913904	5671.7083565004	5698.16526293326	1328.939890496	1183.6588874246274	1069.6860066609352	971.6410433143631	6834.9524776096005	6895.867331873516	6776.198868330401	6613.7318478159405
1030	2043	6	22	1021.3762946096	1046.0792661513162	873.7951951902279	956.8546677086163	5772.0	5671.7083565004	5681.9681190304	5706.936817527828	1174.1608744960001	1063.0086121334275	966.7154185475154	876.2633796939301	6793.3762946096	6717.787622651716	6555.763314220628	6663.791485236444
1031	2043	6	23	687.1030767295999	590.4981149054681	754.2616121794645	711.7115949908703	5764.0	5681.9681190304	5759.432304350399	5729.146466914892	991.676540896	916.5667837019072	839.2709035415095	754.9411541308436	6451.1030767296	6272.466233935868	6513.693916529864	6440.858061905762
1032	2043	6	24	1128.6455946896	1178.957216729284	1015.4223854764755	873.9688413202983	6078.0	5759.432304350399	5954.4094008104	5807.333076044907	1155.602610896	1007.3204246759072	878.9040081971364	777.5847069345873	7206.6455946896	6938.389521079684	6969.831786286875	6681.301917365206
1033	2043	7	25	1052.8818174896	915.9261137101641	802.8164888476412	727.5070598639429	6073.0	5954.4094008104	5985.690381330401	5904.376991821356	1157.864037896	984.7407875973072	855.6559156536957	774.4485995035834	7125.8818174896005	6870.335514520564	6788.506870178042	6631.884051685299
1034	2043	7	26	538.2006031296	504.7228061749081	514.3325719874606	463.1065144749448	6070.0	5985.690381330401	5970.1249246403995	5938.825139551132	914.5346298960001	806.2988325717072	738.0400168076696	697.5662932095747	6608.2006031296005	6490.413187505309	6484.45749662786	6401.931654026077
1035	2043	7	27	450.99779992959986	471.933833976188	432.78608238418803	340.73731145442673	6217.0	5970.1249246403995	6070.3940506504005	5956.683837185859	806.7028668959999	738.3240653351072	697.7758235070537	646.4973007900484	6667.9977999296	6442.0587586165875	6503.180133034589	6297.421148640286
1036	2043	7	28	378.4386781296	359.0015098899081	287.9720588880997	383.50663840488767	6227.0	6070.3940506504005	6102.7943800504	6055.876833550347	863.6028362959999	785.8506435681873	711.4662813170538	668.8288437705748	6605.4386781296	6429.395560540309	6390.7664389385	6439.383471955235
1037	2043	8	29	49.8287132495999	43.97885495786011	209.02079950076552	186.9087327336614	6134.0	6102.7943800504	6092.0558975404	6051.646991263067	806.1640610960001	725.7472371395471	679.3632864193885	646.5836907778248	6183.8287132496	6146.77323500826	6301.076697041166	6238.555723996728
1038	2043	8	30	295.1235476496	407.21934376410024	328.64562830412706	284.2914254080206	6213.0	6092.0558975404	6114.3319478904	6067.573559091379	746.4415992959999	693.9120580047872	657.3156895167099	625.6776628969676	6508.1235476496	6499.2752413045	6442.9775761945275	6351.8649844994
1039	2043	8	31	242.9491080495999	199.00672876993985	191.58330167561883	255.9649502579946	6151.0	6114.3319478904	6101.1009645704	6048.4456205404595	745.6206614960001	693.6684244068274	652.493501107481	636.4203299458267	6393.9491080496	6313.33867666034	6292.6842662460185	6304.4105707984545
1040	2043	8	32	47.63348208959974	72.12245696932416	170.5354162832184	133.7446347037187	6166.0	6101.1009645704	6077.8344085804	6067.161584508043	700.9433660960001	657.6080083405473	640.1930804390967	660.101052805612	6213.6334820896	6173.223421539724	6248.369824863618	6200.906219211762
1041	2043	9	33	89.38200636960016	184.15631955261233	143.4852942602514	106.55103095720756	6180.0	6077.8344085804	6112.0393558604	6032.234779520932	682.834977896	657.9284141053073	673.1836403919415	697.7263924108811	6269.3820063696	6261.990728133012	6255.524650120651	6138.785810478139
1042	2043	9	34	-44.30758067040006	-36.814006336571765	-22.385653391827873	103.8250671074967	6098.0	6112.0393558604	6043.7049679204	6084.509806603795	663.280886296	676.9465925781872	700.5021592775356	747.7189477288312	6053.6924193296	6075.225349523828	6021.319314528572	6188.334873711292
1043	2043	9	35	-245.96662855039972	-187.44486610041986	-14.21303696423388	129.59352469055796	5997.0	6043.7049679204	6019.0754209904	6082.713676763523	644.579327096	677.7469784807472	730.9334363074183	758.2686328244042	5751.0333714496	5856.26010181998	6004.862384026166	6212.307201454081
1044	2043	9	36	-360.21510419039987	-150.55997431916376	32.08830994209836	190.32370588868685	5925.0	6019.0754209904	6015.1942910104	5934.1108521897395	588.6876066959999	668.3219652294672	712.082862108017	759.1262202963896	5564.7848958096	5868.515446671236	6047.282600952498	6124.434558078427
1045	2043	10	37	271.4615141296001	365.1395234155083	428.49722648214913	565.7662110606756	6027.0	6015.1942910104	5938.6183527304	6004.017913047115	712.871385096	743.4024712363473	782.2293396006303	893.8343214419777	6298.4615141296	6380.333814425908	6367.115579212549	6569.78412410779
1046	2043	10	38	166.06308880960012	271.38994655863564	453.41473940560184	509.90337255051145	5981.0	5938.6183527304	5984.568200320399	5890.6646526434515	651.484934696	717.6084909990673	846.1663199459839	925.9674418369117	6147.0630888096	6210.008299289036	6437.982939726001	6400.568025193963
1047	2043	10	39	-104.52319539039968	156.7513430773165	297.75171936230777	468.5998276530372	5891.0	5984.568200320399	5863.5793336104	5936.902964692643	654.6770706960001	801.9236004742673	893.3315036899525	961.9502854002016	5786.476804609601	6141.319543397716	6161.331052972708	6405.50279234568
1048	2043	10	40	244.3260516096002	366.86398910351625	518.023795903442	609.203062130981	5866.0	5863.5793336104	5869.4613723504	5811.574223267995	759.662167696	863.6204196896673	940.0337054229627	1006.8240655168528	6110.3260516096	6230.443322713916	6387.485168253842	6420.777285398976
1049	2043	11	41	191.10724500959998	379.31996565115605	510.0123724275719	743.5318121969779	5827.0	5869.4613723504	5790.7678983104	5939.808741523308	752.784125696	862.1123898252671	949.3448855174905	974.6543723150367	6018.1072450096	6248.781338001556	6300.7802707379715	6683.340553720285
1050	2043	11	42	1005.2664671696	1003.9972703682921	1096.7931651148126	1195.0805516027474	5927.0	5790.7678983104	5972.5367129304	5841.651107929355	997.7390118960001	1044.6945624241073	1044.9896996867235	993.361978025575	6932.2664671696	6794.765168678692	7069.329878045213	7036.731659532103
1051	2043	11	43	982.0392050496	1079.4642837661402	1182.6882211989155	1213.9623023899937	5878.0	5972.5367129304	5891.2687273704005	5901.342425385212	1181.2285522959999	1140.977283999387	1064.1678620650214	1073.1909957292462	6860.0392050496	7052.000996696541	7073.9569485693155	7115.304727775206
1052	2043	11	44	734.8860770496	910.7537509773401	1019.4949426469509	1144.3844526724235	5941.0	5891.2687273704005	5883.4043430704	5823.978171348684	1063.509054896	1009.7053199567073	1033.0163370103269	1006.3748828470127	6675.8860770496	6802.022478347741	6902.899285717351	6968.362624021107
1053	2043	12	45	1087.8336188096	1159.242956616636	1244.3218651081288	1293.4547977424902	6027.0	5883.4043430704	5901.1821192204	5956.785175438843	999.7131584960001	1025.9915409022271	1001.1929949789871	972.574233335168	7114.8336188096	7042.647299687036	7145.5039843285285	7250.239973181333
1054	2043	12	46	1438.8613211296	1464.9912816177082	1451.2611941500136	1529.0895009040426	6067.0	5901.1821192204	6061.2143851004	5980.157735496963	1322.2967766959998	1209.504667623467	1126.2367329484875	1014.3746458361863	7505.8613211296	7366.173400838108	7512.475579250414	7509.2472364010055
1055	2043	12	47	1952.4712986096	1835.9710149697162	1804.2054251966401	1845.3428242551668	6139.0	6061.2143851004	6115.4285460844	5959.6780309095075	1295.198806096	1186.4823417485472	1058.8152224079222	1155.2044038730392	8091.4712986096	7897.185400070117	7919.63397128104	7805.020855164674
1056	2043	12	48	1902.1913366496	1856.4652249834999	1882.7151561885544	1820.8569046304963	6208.0	6115.4285460844	6043.1696886644	5976.406995353207	1553.5583382959999	1316.880911404587	1345.5682866658162	1304.6271066062707	8110.1913366496	7971.8937710679	7925.884844852955	7797.263899983704
1057	2044	1	1	2062.3508166096	2045.1960914125161	1937.0512159137934	1942.3083052135773	6285.0	6043.1696886644	6072.8592383404	6036.899033526711	1608.9795620959999	1550.922600907747	1456.1080909995396	1350.8697893047722	8347.3508166096	8088.365780076916	8009.910454254194	7979.207338740288
1058	2044	1	2	1524.3933938496	1526.04377873062	1648.3862765768974	1693.097289161205	6414.0	6072.8592383404	6247.8273146144	6094.63723346842	1679.4339450960001	1546.4555092283474	1417.5151670812847	1401.1078961518292	7938.3933938496	7598.90301707102	7896.213591191297	7787.734522629626
1059	2044	1	3	1417.1736740095998	1562.468091174556	1631.6549767706774	1671.1398808685292	6314.0	6247.8273146144	6231.7980987004	6133.3532883630705	1511.350758096	1392.835449874947	1382.9027375664627	1217.3080599169984	7731.1736740096	7810.2954057889565	7863.453075471078	7804.4931692315995
1060	2044	1	4	1939.6926654895997	1929.353330210964	1884.031658605321	1874.5915922215472	6626.0	6231.7980987004	6348.457911810399	6235.853312691187	1485.428321696	1447.9983675924673	1265.3262871085735	1100.1416082293185	8565.6926654896	8161.151428911364	8232.48957041572	8110.444904912734
1061	2044	2	5	1658.5025911696	1670.281482898692	1721.7333235349406	1818.6250623042488	6920.0	6348.457911810399	6627.302554150399	6452.257520084155	1647.312498696	1405.450237063867	1203.5049778018429	1085.176452220156	8578.5025911696	8018.739394709091	8349.035877685339	8270.882582388404
1062	2044	2	6	1861.3067531296	1872.4867799249082	1926.4327507242108	1848.6672162887812	7062.0	6627.302554150399	6858.1202598464	6702.3388024811475	1596.182925696	1337.5959103852672	1184.0895261476824	1310.8107150778653	8923.3067531296	8499.789334075307	8784.553010570611	8551.00601876993
1063	2044	2	7	1574.7669948896	1691.4780425042043	1680.6450389991128	1622.5818236161838	6853.0	6858.1202598464	6830.7155096804	6774.6316842310325	1147.301294296	1050.306572003787	1212.1248235076416	1196.179261650338	8427.7669948896	8549.598302350603	8511.360548679513	8397.213507847217
