Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
2772	2079	9	36	-91.50950815040005	-38.113041878580134	64.42020604717106	97.26361812538323	6208.0	6335.4243749904	6303.8657100104	6225.195474224939	818.7706466959999	841.4800205574672	842.6927178077867	861.7514737336944	6116.4904918495995	6297.31133311182	6368.285916057571	6322.459092350322
2773	2079	10	37	-44.99022931040008	58.99286245888413	93.38238461654362	152.1043457640841	6104.0	6303.8657100104	6093.5612897304	6240.780841174315	682.798545096	731.1347715483473	779.4600079875088	905.7742711819247	6059.0097706895995	6362.858572469284	6186.943674346943	6392.8851869384
2774	2079	10	38	-8.404974710399983	40.19331233204423	114.06746707812556	232.71406443237117	6062.0	6093.5612897304	6103.2076253203995	6049.4319782090515	711.3410746960001	765.5444317470674	895.5093532273976	963.7951016233718	6053.5950252896	6133.754602062444	6217.275092398525	6282.146042641422
2775	2079	10	39	-113.38488667039996	-7.133483444171816	146.04013586710505	329.5467380832416	5973.0	6103.2076253203995	5980.856716610399	6088.831429632643	687.9785106960001	840.9781306822673	923.5697803205381	986.2799680798488	5859.6151133296	6096.074141876228	6126.896852477505	6418.378167715885
2776	2079	10	40	-68.1742162303999	97.86796766665191	295.09757702099444	379.0380148982845	5957.0	5980.856716610399	6005.6685323504	5974.570891718395	792.377587696	889.4021073336672	961.0759554074835	1024.738238069664	5888.8257837696	6078.724684277051	6300.766109371394	6353.608906616679
2777	2079	11	41	332.4030506895997	480.18813790688387	511.40105316816437	665.4548008574695	5980.0	6005.6685323504	5974.0835913104	6114.614052131308	859.5554856960001	940.0928645772673	1009.2599206731771	1020.1242181129669	6312.4030506896	6485.856670257283	6485.484644478564	6780.0688529887775
2778	2079	11	42	444.87645004959995	483.53375064314014	645.5261734172395	747.6803944188964	5883.0	5974.0835913104	6044.8401909304	5987.188783107756	899.673391896	980.8437911401073	999.1628699659548	965.8410639757293	6327.8764500496	6457.617341953541	6690.366364347639	6734.8691775266525
2779	2079	11	43	613.1581874496001	747.8232771331801	820.8356941232324	856.8669170211257	6011.0	6044.8401909304	6008.1868363704	5994.809852671611	983.731952296	1001.1933358793872	967.3388507472376	998.3903086515543	6624.1581874496005	6792.663468063581	6829.022530493632	6851.676769692737
2780	2079	11	44	480.0738013696	609.5329755396122	705.7588881051811	762.7370223127205	6138.0	6008.1868363704	6047.7991520704	5958.810951747883	1123.842254896	1053.5648041967074	1061.9954603474948	1014.793101712326	6618.0738013696	6617.719811910012	6753.5580401755815	6721.547974060604
2781	2079	12	45	1047.0791494096	1051.061883679396	1009.6721085706946	1107.872508173732	6034.0	6047.7991520704	5973.493479220399	6077.549122798044	1054.5699584959998	1062.702114662227	1015.3143699974191	982.8500566249866	7081.0791494096	7098.861035749796	6983.165587791094	7185.421630971776
2782	2079	12	46	1038.2101193695999	999.5297442224121	1100.619441599438	1140.7502016805768	6093.0	5973.493479220399	6103.2593651004	6041.830036064964	1437.269676696	1278.6468594034673	1177.0990299918838	1055.780327206011	7131.2101193696	6973.023223442811	7203.878806699838	7182.58023774554
2783	2079	12	47	1391.9242215696001	1410.289589726532	1362.2033188541532	1441.5437598247358	6095.0	6103.2593651004	6110.9429450844	6003.672498533508	1445.9753260960001	1294.7360764125472	1142.556081875207	1224.054096138118	7486.9242215696	7513.5489548269325	7473.146263938554	7445.216258358243
2784	2079	12	48	1622.4717541695998	1529.6533878184919	1561.2916269257773	1507.9569813425562	6212.0	6110.9429450844	6065.5241716644005	5991.210977504407	1681.974698296	1414.7967151565872	1424.8742214593026	1373.7582941911387	7834.4717541696	7640.596332902892	7626.815798590178	7499.167958846963
2785	2080	1	1	2275.5006932896003	2149.899925204844	1928.8859705799562	1894.5466834118893	6364.0	6065.5241716644005	6135.1498303404005	6082.007186457111	1704.7974820959998	1628.753659051747	1524.1513259521605	1410.427671327188	8639.5006932896	8215.424096869245	8064.035800920356	7976.553869869
2786	2080	1	2	2284.4486961695993	2035.0692637716918	1970.481097533766	1872.7888235275805	6444.0	6135.1498303404005	6297.2842376144	6148.78968319802	2076.0524850959996	1838.616125656347	1642.3947356280742	1573.2160481311764	8728.448696169598	8170.2190941120925	8267.765335148166	8021.5785067256
2787	2080	1	3	1650.4303125696	1666.931460955132	1655.7126421655469	1648.9159892526832	6300.0	6297.2842376144	6242.5564597004	6163.4604801654705	1658.853158096	1516.0158535549472	1479.9918198814387	1311.3308288631483	7950.4303125696	7964.215698569532	7898.269101865947	7812.376469418154
2788	2080	1	4	1474.0396346096	1503.486135715316	1540.054884707302	1510.8777225675249	6271.0	6242.5564597004	6148.5100058104	6180.971889427988	1543.925741696	1499.6133276364671	1325.8047653907743	1158.6745121680156	7745.0396346096	7746.042595415716	7688.564890517702	7691.8496119955125
2789	2080	2	5	1385.7665251295998	1447.1528400761079	1444.44107215157	1586.4121983543403	6189.0	6148.5100058104	6150.5089751504	6172.541449151356	1616.016598696	1407.639836683867	1219.0407002519269	1101.078955627811	7574.7665251296	7595.662845886508	7594.950047301971	7758.953647505696
2790	2080	2	6	1285.4250472496	1316.8086194742602	1495.138936566449	1587.5741202501536	6052.0	6150.5089751504	6117.6465578464	6195.2020617459475	1304.3096256959998	1146.396391325267	1047.4923949197903	1208.9923754730135	7337.4250472496005	7467.31759462466	7612.785494412849	7782.7761819961015
2791	2080	2	7	2435.7136920496	2378.1572244563404	2219.043293359585	2116.555229947504	6265.0	6117.6465578464	6260.3245566804	6181.328254533433	1478.648174296	1281.0755932197872	1381.2965851353729	1302.44667461476	8700.7136920496	8495.80378230274	8479.367850039984	8297.883484480937
2792	2080	2	8	2498.8415062096	2314.284999256676	2184.6650325339115	2019.6721016036265	6618.0	6260.3245566804	6465.9292924304	6403.393624780212	1992.4368482959997	1881.405374986587	1671.3552708137086	1767.232354384012	9116.8415062096	8574.609555937077	8650.594324964311	8423.065726383838
2793	2080	3	9	2362.2948204096	2222.553456775996	2046.767091882641	1896.563181710234	6742.0	6465.9292924304	6677.3706169404	6628.4528885648115	2103.285303296	1827.3436686175874	1882.298240097143	2214.2052111623043	9104.2948204096	8688.482749206396	8724.137708823042	8525.016070275045
2794	2080	3	10	2535.1749350095997	2293.4819287651553	2072.995330598476	1866.905671156509	6691.0	6677.3706169404	6756.4731070304	6716.3982447961	1916.520568296	1944.992336890587	2260.4519312907614	2724.1976664035556	9226.1749350096	8970.852545705555	8829.468437628875	8583.303915952609
2795	2080	3	11	2422.0155046095997	2174.4315478973162	1939.4453287598794	1905.6686425337505	7020.0	6756.4731070304	6911.2858378804	6910.184227309291	2168.535979496	2417.609971294427	2840.126346514095	2898.910289856927	9442.0155046096	8930.904654927715	8850.73116664028	8815.852869843042
