Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
572	2033	11	44	465.36091076959985	738.8591641808521	967.8100608277337	1153.974857564743	5240.0	5263.0820063704	5217.850071070399	5198.248678443883	657.429134896	712.5789534127073	799.4328261048261	802.4970576268665	5705.3609107696	6001.941170551252	6185.660131898133	6352.223536008626
573	2033	12	45	454.8770759296002	743.6968777657883	993.7057347935324	1133.211902603169	5198.0	5217.850071070399	5161.2300332203995	5279.914897525243	532.488978496	672.8240478262271	709.1032449024041	727.9318230781769	5652.8770759296	5961.546948836188	6154.935768013932	6413.126800128412
574	2033	12	46	761.7900175295999	1007.9844914891481	1143.4230101275189	1259.6313132325445	5224.0	5161.2300332203995	5283.4129771004	5246.364329980163	634.198716696	681.9484519314673	707.9009082886935	675.423109147586	5985.7900175296	6169.214524709548	6426.835987227919	6505.995643212707
575	2033	12	47	600.4027491695999	821.7673656054919	1029.6070581769877	1245.1357446518296	5162.0	5283.4129771004	5246.8022870844	5177.309917039108	668.752926096	698.6240487325472	668.5799716034312	824.4050140014745	5762.4027491696	6105.180342705892	6276.409345261387	6422.445661690937
576	2033	12	48	643.1266208495999	888.6272302648202	1144.317430266129	1314.2936308113801	5128.0	5246.8022870844	5088.9110156644	5096.505130234006	529.539558296	549.7083866085873	736.7185936899291	813.9995015007519	5771.1266208496	6135.42951734922	6233.228445930529	6410.7987610453865
577	2034	1	1	564.8899360096	888.8302059197563	1131.5881211853496	1279.6982848974512	5050.0	5088.9110156644	4984.5639893404	5062.92059332431	544.030742096	732.7270353837472	811.0551017996029	813.3263220651286	5614.8899360096	5977.741221584156	6116.15211052575	6342.618878221761
578	2034	1	2	785.4196422896	1049.978500240244	1221.337138177457	1443.2460053157185	4969.0	4984.5639893404	4994.7152076144	4985.19145283722	686.685745096	778.6866619883472	789.4495257875167	866.9063847507957	5754.4196422896	6034.5424895806445	6216.052345791857	6428.437458152938
579	2034	1	3	711.8641380095996	954.5038092689559	1252.4266034134796	1362.743742647417	4998.0	4994.7152076144	4992.8338557004	4937.55333690147	543.6772980960002	624.2307319029474	745.0316355871726	680.4544612585634	5709.8641380096	5949.219016883356	6245.26045911388	6300.297079548887
580	2034	1	4	682.1478893695999	1037.4885680244122	1209.0360048368673	1349.5140209837991	4915.0	4992.8338557004	4892.211326810399	4957.763293272787	558.5277016959999	698.8403893084671	646.3811792704047	580.0863939017459	5597.1478893696	6030.322423724812	6101.247331647267	6307.277314256587
581	2034	2	5	815.7801797295998	1034.068023869268	1224.389900931584	1379.6613964116116	4810.0	4892.211326810399	4853.7673961504	4923.072471536155	700.9868386960001	647.8901990518672	581.1995324438246	566.2842979300456	5625.7801797296	5926.279350679668	6078.157297081983	6302.733867947766
582	2034	2	6	917.4207505696002	1132.3341241899323	1313.829934010183	1464.522671145843	4949.0	4853.7673961504	4955.3738688464	4960.0730856107475	639.219625696	575.1038533252672	561.7877794281906	792.2060444524064	5866.4207505696	5986.101520340332	6269.203802856583	6424.595756756591
583	2034	2	7	897.6820359695998	1128.647034880772	1332.0935994142756	1472.2321740710097	4814.0	4955.3738688464	4937.4533906804	4946.2571490302325	596.618174296	576.9130072197872	803.3632699701728	833.2094006207333	5711.682035969599	6084.0209037271725	6269.5469900946755	6418.489323101242
